Date,REGION,Product,Spend
30/4/2008,Auckland,Accommodation services,11.12067576
30/4/2008,Auckland,"Cultural, recreation, and gambling services",3.642789496
30/4/2008,Auckland,Food and beverage serving services,20.20440119
30/4/2008,Auckland,Other passenger transport,66.07800872
30/4/2008,Auckland,Other tourism products,28.59842051
30/4/2008,Auckland,"Retail sales - alcohol, food, and beverages",14.45270403
30/4/2008,Auckland,Retail sales - fuel and other automotive products,14.26845523
30/4/2008,Auckland,Retail sales - other,66.1639111
30/4/2008,Bay of Plenty,Accommodation services,6.957306249
30/4/2008,Bay of Plenty,"Cultural, recreation, and gambling services",4.289761095
30/4/2008,Bay of Plenty,Food and beverage serving services,9.304046278
30/4/2008,Bay of Plenty,Other passenger transport,9.973463231
30/4/2008,Bay of Plenty,Other tourism products,4.322647905
30/4/2008,Bay of Plenty,"Retail sales - alcohol, food, and beverages",8.223417301
30/4/2008,Bay of Plenty,Retail sales - fuel and other automotive products,8.895893689
30/4/2008,Bay of Plenty,Retail sales - other,21.85357597
30/4/2008,Canterbury,Accommodation services,12.40595799
30/4/2008,Canterbury,"Cultural, recreation, and gambling services",5.31892651
30/4/2008,Canterbury,Food and beverage serving services,18.52098041
30/4/2008,Canterbury,Other passenger transport,33.56848789
30/4/2008,Canterbury,Other tourism products,9.648825286
30/4/2008,Canterbury,"Retail sales - alcohol, food, and beverages",13.98280203
30/4/2008,Canterbury,Retail sales - fuel and other automotive products,15.5074002
30/4/2008,Canterbury,Retail sales - other,42.25043568
30/4/2008,Gisborne,Accommodation services,0.936870867
30/4/2008,Gisborne,"Cultural, recreation, and gambling services",0.106232411
30/4/2008,Gisborne,Food and beverage serving services,0.959715221
30/4/2008,Gisborne,Other passenger transport,0.76437621
30/4/2008,Gisborne,Other tourism products,0.303381062
30/4/2008,Gisborne,"Retail sales - alcohol, food, and beverages",1.315431802
30/4/2008,Gisborne,Retail sales - fuel and other automotive products,1.199410243
30/4/2008,Gisborne,Retail sales - other,1.459232218
30/4/2008,Hawke's Bay,Accommodation services,3.283085538
30/4/2008,Hawke's Bay,"Cultural, recreation, and gambling services",0.672037754
30/4/2008,Hawke's Bay,Food and beverage serving services,3.715788067
30/4/2008,Hawke's Bay,Other passenger transport,5.024524438
30/4/2008,Hawke's Bay,Other tourism products,3.177543119
30/4/2008,Hawke's Bay,"Retail sales - alcohol, food, and beverages",4.254752552
30/4/2008,Hawke's Bay,Retail sales - fuel and other automotive products,3.474800619
30/4/2008,Hawke's Bay,Retail sales - other,7.481026303
30/4/2008,Manawatu-Whanganui,Accommodation services,3.524299823
30/4/2008,Manawatu-Whanganui,"Cultural, recreation, and gambling services",17.79279474
30/4/2008,Manawatu-Whanganui,Food and beverage serving services,5.714332096
30/4/2008,Manawatu-Whanganui,Other passenger transport,4.57941506
30/4/2008,Manawatu-Whanganui,Other tourism products,2.804970617
30/4/2008,Manawatu-Whanganui,"Retail sales - alcohol, food, and beverages",5.48696371
30/4/2008,Manawatu-Whanganui,Retail sales - fuel and other automotive products,8.713068263
30/4/2008,Manawatu-Whanganui,Retail sales - other,14.87741799
30/4/2008,Marlborough,Accommodation services,2.433044598
30/4/2008,Marlborough,"Cultural, recreation, and gambling services",0.356497166
30/4/2008,Marlborough,Food and beverage serving services,2.087448284
30/4/2008,Marlborough,Other passenger transport,8.50942656
30/4/2008,Marlborough,Other tourism products,0.372262378
30/4/2008,Marlborough,"Retail sales - alcohol, food, and beverages",2.932261548
30/4/2008,Marlborough,Retail sales - fuel and other automotive products,2.743429384
30/4/2008,Marlborough,Retail sales - other,2.330988005
30/4/2008,Nelson,Accommodation services,1.654253415
30/4/2008,Nelson,"Cultural, recreation, and gambling services",0.297894179
30/4/2008,Nelson,Food and beverage serving services,1.817714407
30/4/2008,Nelson,Other passenger transport,2.680086669
30/4/2008,Nelson,Other tourism products,0.786912377
30/4/2008,Nelson,"Retail sales - alcohol, food, and beverages",1.249834574
30/4/2008,Nelson,Retail sales - fuel and other automotive products,0.893039236
30/4/2008,Nelson,Retail sales - other,4.332107702
30/4/2008,Northland,Accommodation services,3.935257957
30/4/2008,Northland,"Cultural, recreation, and gambling services",1.598080042
30/4/2008,Northland,Food and beverage serving services,5.174810738
30/4/2008,Northland,Other passenger transport,7.68528801
30/4/2008,Northland,Other tourism products,2.718874445
30/4/2008,Northland,"Retail sales - alcohol, food, and beverages",7.854854293
30/4/2008,Northland,Retail sales - fuel and other automotive products,7.364881888
30/4/2008,Northland,Retail sales - other,11.36204852
30/4/2008,Otago,Accommodation services,9.171138219
30/4/2008,Otago,"Cultural, recreation, and gambling services",5.453039586
30/4/2008,Otago,Food and beverage serving services,11.92695224
30/4/2008,Otago,Other passenger transport,15.73109128
30/4/2008,Otago,Other tourism products,3.911447943
30/4/2008,Otago,"Retail sales - alcohol, food, and beverages",10.44171946
30/4/2008,Otago,Retail sales - fuel and other automotive products,8.32544547
30/4/2008,Otago,Retail sales - other,21.09136387
30/4/2008,Southland,Accommodation services,2.756614816
30/4/2008,Southland,"Cultural, recreation, and gambling services",0.874840413
30/4/2008,Southland,Food and beverage serving services,3.181867217
30/4/2008,Southland,Other passenger transport,10.80466601
30/4/2008,Southland,Other tourism products,1.06420255
30/4/2008,Southland,"Retail sales - alcohol, food, and beverages",3.900072406
30/4/2008,Southland,Retail sales - fuel and other automotive products,3.406410414
30/4/2008,Southland,Retail sales - other,7.805987099
30/4/2008,Taranaki,Accommodation services,2.173185683
30/4/2008,Taranaki,"Cultural, recreation, and gambling services",0.336060026
30/4/2008,Taranaki,Food and beverage serving services,2.223795602
30/4/2008,Taranaki,Other passenger transport,1.940026152
30/4/2008,Taranaki,Other tourism products,1.452550336
30/4/2008,Taranaki,"Retail sales - alcohol, food, and beverages",2.466843391
30/4/2008,Taranaki,Retail sales - fuel and other automotive products,2.623144078
30/4/2008,Taranaki,Retail sales - other,5.981100232
30/4/2008,Tasman,Accommodation services,1.159770117
30/4/2008,Tasman,"Cultural, recreation, and gambling services",0.532891962
30/4/2008,Tasman,Food and beverage serving services,1.374124803
30/4/2008,Tasman,Other passenger transport,1.885680159
30/4/2008,Tasman,Other tourism products,0.387547701
30/4/2008,Tasman,"Retail sales - alcohol, food, and beverages",1.950567844
30/4/2008,Tasman,Retail sales - fuel and other automotive products,1.58816805
30/4/2008,Tasman,Retail sales - other,1.687991859
30/4/2008,Waikato,Accommodation services,8.414350271
30/4/2008,Waikato,"Cultural, recreation, and gambling services",5.38789876
30/4/2008,Waikato,Food and beverage serving services,16.14972729
30/4/2008,Waikato,Other passenger transport,13.184267
30/4/2008,Waikato,Other tourism products,6.064681469
30/4/2008,Waikato,"Retail sales - alcohol, food, and beverages",14.02516849
30/4/2008,Waikato,Retail sales - fuel and other automotive products,20.31625664
30/4/2008,Waikato,Retail sales - other,29.32453736
30/4/2008,Wellington,Accommodation services,8.213430139
30/4/2008,Wellington,"Cultural, recreation, and gambling services",2.251137473
30/4/2008,Wellington,Food and beverage serving services,15.36634217
30/4/2008,Wellington,Other passenger transport,18.01756166
30/4/2008,Wellington,Other tourism products,12.88185345
30/4/2008,Wellington,"Retail sales - alcohol, food, and beverages",8.972529653
30/4/2008,Wellington,Retail sales - fuel and other automotive products,7.127242654
30/4/2008,Wellington,Retail sales - other,30.97341678
30/4/2008,West Coast,Accommodation services,2.920277312
30/4/2008,West Coast,"Cultural, recreation, and gambling services",0.787396497
30/4/2008,West Coast,Food and beverage serving services,1.961805
30/4/2008,West Coast,Other passenger transport,3.32766791
30/4/2008,West Coast,Other tourism products,0.607317136
30/4/2008,West Coast,"Retail sales - alcohol, food, and beverages",1.884139553
30/4/2008,West Coast,Retail sales - fuel and other automotive products,3.880870749
30/4/2008,West Coast,Retail sales - other,1.697096653
31/5/2008,Auckland,Accommodation services,12.06212864
31/5/2008,Auckland,"Cultural, recreation, and gambling services",3.540126826
31/5/2008,Auckland,Food and beverage serving services,21.57546604
31/5/2008,Auckland,Other passenger transport,70.946004
31/5/2008,Auckland,Other tourism products,31.57995354
31/5/2008,Auckland,"Retail sales - alcohol, food, and beverages",13.22350891
31/5/2008,Auckland,Retail sales - fuel and other automotive products,14.0470093
31/5/2008,Auckland,Retail sales - other,67.93003798
31/5/2008,Bay of Plenty,Accommodation services,6.009515896
31/5/2008,Bay of Plenty,"Cultural, recreation, and gambling services",2.724085506
31/5/2008,Bay of Plenty,Food and beverage serving services,8.272048327
31/5/2008,Bay of Plenty,Other passenger transport,15.064842
31/5/2008,Bay of Plenty,Other tourism products,4.116539061
31/5/2008,Bay of Plenty,"Retail sales - alcohol, food, and beverages",7.103257012
31/5/2008,Bay of Plenty,Retail sales - fuel and other automotive products,7.863463858
31/5/2008,Bay of Plenty,Retail sales - other,19.07582932
31/5/2008,Canterbury,Accommodation services,10.2973889
31/5/2008,Canterbury,"Cultural, recreation, and gambling services",5.086582752
31/5/2008,Canterbury,Food and beverage serving services,15.25130454
31/5/2008,Canterbury,Other passenger transport,27.34372474
31/5/2008,Canterbury,Other tourism products,9.395541256
31/5/2008,Canterbury,"Retail sales - alcohol, food, and beverages",13.0182358
31/5/2008,Canterbury,Retail sales - fuel and other automotive products,13.49457045
31/5/2008,Canterbury,Retail sales - other,40.14170968
31/5/2008,Gisborne,Accommodation services,0.714974785
31/5/2008,Gisborne,"Cultural, recreation, and gambling services",0.086019224
31/5/2008,Gisborne,Food and beverage serving services,0.862998728
31/5/2008,Gisborne,Other passenger transport,0.793979344
31/5/2008,Gisborne,Other tourism products,0.263335619
31/5/2008,Gisborne,"Retail sales - alcohol, food, and beverages",1.09285493
31/5/2008,Gisborne,Retail sales - fuel and other automotive products,0.999379461
31/5/2008,Gisborne,Retail sales - other,1.276575009
31/5/2008,Hawke's Bay,Accommodation services,2.276894913
31/5/2008,Hawke's Bay,"Cultural, recreation, and gambling services",0.531326422
31/5/2008,Hawke's Bay,Food and beverage serving services,3.437704901
31/5/2008,Hawke's Bay,Other passenger transport,4.95797595
31/5/2008,Hawke's Bay,Other tourism products,2.753869932
31/5/2008,Hawke's Bay,"Retail sales - alcohol, food, and beverages",3.947431141
31/5/2008,Hawke's Bay,Retail sales - fuel and other automotive products,2.907021187
31/5/2008,Hawke's Bay,Retail sales - other,6.200135465
31/5/2008,Manawatu-Whanganui,Accommodation services,3.391300232
31/5/2008,Manawatu-Whanganui,"Cultural, recreation, and gambling services",2.064068352
31/5/2008,Manawatu-Whanganui,Food and beverage serving services,5.932589524
31/5/2008,Manawatu-Whanganui,Other passenger transport,6.954971221
31/5/2008,Manawatu-Whanganui,Other tourism products,2.954401972
31/5/2008,Manawatu-Whanganui,"Retail sales - alcohol, food, and beverages",5.252722695
31/5/2008,Manawatu-Whanganui,Retail sales - fuel and other automotive products,8.325101713
31/5/2008,Manawatu-Whanganui,Retail sales - other,14.00941577
31/5/2008,Marlborough,Accommodation services,1.378274846
31/5/2008,Marlborough,"Cultural, recreation, and gambling services",0.247340254
31/5/2008,Marlborough,Food and beverage serving services,1.538010958
31/5/2008,Marlborough,Other passenger transport,4.66184677
31/5/2008,Marlborough,Other tourism products,0.412979933
31/5/2008,Marlborough,"Retail sales - alcohol, food, and beverages",1.986725486
31/5/2008,Marlborough,Retail sales - fuel and other automotive products,1.787695441
31/5/2008,Marlborough,Retail sales - other,1.831044482
31/5/2008,Nelson,Accommodation services,1.307448659
31/5/2008,Nelson,"Cultural, recreation, and gambling services",0.119030307
31/5/2008,Nelson,Food and beverage serving services,1.541668411
31/5/2008,Nelson,Other passenger transport,2.806715446
31/5/2008,Nelson,Other tourism products,0.781047956
31/5/2008,Nelson,"Retail sales - alcohol, food, and beverages",0.913329947
31/5/2008,Nelson,Retail sales - fuel and other automotive products,0.740835128
31/5/2008,Nelson,Retail sales - other,3.878952228
31/5/2008,Northland,Accommodation services,3.237408107
31/5/2008,Northland,"Cultural, recreation, and gambling services",1.330337727
31/5/2008,Northland,Food and beverage serving services,4.170013599
31/5/2008,Northland,Other passenger transport,7.212700595
31/5/2008,Northland,Other tourism products,2.524483707
31/5/2008,Northland,"Retail sales - alcohol, food, and beverages",6.547877567
31/5/2008,Northland,Retail sales - fuel and other automotive products,6.717601497
31/5/2008,Northland,Retail sales - other,10.84640715
31/5/2008,Otago,Accommodation services,6.663307198
31/5/2008,Otago,"Cultural, recreation, and gambling services",3.373401303
31/5/2008,Otago,Food and beverage serving services,10.37333146
31/5/2008,Otago,Other passenger transport,13.42788528
31/5/2008,Otago,Other tourism products,3.652915565
31/5/2008,Otago,"Retail sales - alcohol, food, and beverages",8.039150181
31/5/2008,Otago,Retail sales - fuel and other automotive products,6.636217849
31/5/2008,Otago,Retail sales - other,17.65090187
31/5/2008,Southland,Accommodation services,2.0015185
31/5/2008,Southland,"Cultural, recreation, and gambling services",0.476042246
31/5/2008,Southland,Food and beverage serving services,2.952806005
31/5/2008,Southland,Other passenger transport,10.68170889
31/5/2008,Southland,Other tourism products,1.441250573
31/5/2008,Southland,"Retail sales - alcohol, food, and beverages",3.714928986
31/5/2008,Southland,Retail sales - fuel and other automotive products,3.101294897
31/5/2008,Southland,Retail sales - other,6.949433901
31/5/2008,Taranaki,Accommodation services,1.743785242
31/5/2008,Taranaki,"Cultural, recreation, and gambling services",0.769775781
31/5/2008,Taranaki,Food and beverage serving services,2.257714181
31/5/2008,Taranaki,Other passenger transport,2.962773742
31/5/2008,Taranaki,Other tourism products,1.413400139
31/5/2008,Taranaki,"Retail sales - alcohol, food, and beverages",2.687328503
31/5/2008,Taranaki,Retail sales - fuel and other automotive products,2.512579023
31/5/2008,Taranaki,Retail sales - other,5.440447423
31/5/2008,Tasman,Accommodation services,0.552512764
31/5/2008,Tasman,"Cultural, recreation, and gambling services",0.178170839
31/5/2008,Tasman,Food and beverage serving services,0.990910072
31/5/2008,Tasman,Other passenger transport,1.83518022
31/5/2008,Tasman,Other tourism products,0.323896511
31/5/2008,Tasman,"Retail sales - alcohol, food, and beverages",1.564963862
31/5/2008,Tasman,Retail sales - fuel and other automotive products,1.248503463
31/5/2008,Tasman,Retail sales - other,1.146301408
31/5/2008,Waikato,Accommodation services,6.527289204
31/5/2008,Waikato,"Cultural, recreation, and gambling services",4.660867231
31/5/2008,Waikato,Food and beverage serving services,13.40694149
31/5/2008,Waikato,Other passenger transport,9.872055
31/5/2008,Waikato,Other tourism products,5.932909184
31/5/2008,Waikato,"Retail sales - alcohol, food, and beverages",12.06096729
31/5/2008,Waikato,Retail sales - fuel and other automotive products,18.64089525
31/5/2008,Waikato,Retail sales - other,28.30185462
31/5/2008,Wellington,Accommodation services,8.098022861
31/5/2008,Wellington,"Cultural, recreation, and gambling services",3.066694885
31/5/2008,Wellington,Food and beverage serving services,15.76932887
31/5/2008,Wellington,Other passenger transport,20.11081615
31/5/2008,Wellington,Other tourism products,12.79606604
31/5/2008,Wellington,"Retail sales - alcohol, food, and beverages",7.826642565
31/5/2008,Wellington,Retail sales - fuel and other automotive products,6.563191281
31/5/2008,Wellington,Retail sales - other,30.52229477
31/5/2008,West Coast,Accommodation services,1.648657142
31/5/2008,West Coast,"Cultural, recreation, and gambling services",0.350772492
31/5/2008,West Coast,Food and beverage serving services,1.372414427
31/5/2008,West Coast,Other passenger transport,1.942293841
31/5/2008,West Coast,Other tourism products,0.467272357
31/5/2008,West Coast,"Retail sales - alcohol, food, and beverages",1.49942566
31/5/2008,West Coast,Retail sales - fuel and other automotive products,2.08717606
31/5/2008,West Coast,Retail sales - other,1.448005357
30/6/2008,Auckland,Accommodation services,11.96063369
30/6/2008,Auckland,"Cultural, recreation, and gambling services",3.087729399
30/6/2008,Auckland,Food and beverage serving services,19.95023391
30/6/2008,Auckland,Other passenger transport,57.53058799
30/6/2008,Auckland,Other tourism products,29.64625775
30/6/2008,Auckland,"Retail sales - alcohol, food, and beverages",12.0347297
30/6/2008,Auckland,Retail sales - fuel and other automotive products,13.58572398
30/6/2008,Auckland,Retail sales - other,66.99421871
30/6/2008,Bay of Plenty,Accommodation services,5.741937323
30/6/2008,Bay of Plenty,"Cultural, recreation, and gambling services",2.659230818
30/6/2008,Bay of Plenty,Food and beverage serving services,7.227361901
30/6/2008,Bay of Plenty,Other passenger transport,9.350573356
30/6/2008,Bay of Plenty,Other tourism products,3.905622004
30/6/2008,Bay of Plenty,"Retail sales - alcohol, food, and beverages",5.875069639
30/6/2008,Bay of Plenty,Retail sales - fuel and other automotive products,7.729573346
30/6/2008,Bay of Plenty,Retail sales - other,16.9177348
30/6/2008,Canterbury,Accommodation services,9.599055958
30/6/2008,Canterbury,"Cultural, recreation, and gambling services",4.817431321
30/6/2008,Canterbury,Food and beverage serving services,14.146244
30/6/2008,Canterbury,Other passenger transport,23.75679819
30/6/2008,Canterbury,Other tourism products,8.987159928
30/6/2008,Canterbury,"Retail sales - alcohol, food, and beverages",12.59325915
30/6/2008,Canterbury,Retail sales - fuel and other automotive products,12.68037705
30/6/2008,Canterbury,Retail sales - other,35.37912622
30/6/2008,Gisborne,Accommodation services,0.667783113
30/6/2008,Gisborne,"Cultural, recreation, and gambling services",0.07515984
30/6/2008,Gisborne,Food and beverage serving services,0.726708386
30/6/2008,Gisborne,Other passenger transport,0.21535659
30/6/2008,Gisborne,Other tourism products,0.209546042
30/6/2008,Gisborne,"Retail sales - alcohol, food, and beverages",1.626134964
30/6/2008,Gisborne,Retail sales - fuel and other automotive products,0.951967589
30/6/2008,Gisborne,Retail sales - other,1.082534007
30/6/2008,Hawke's Bay,Accommodation services,1.9938679
30/6/2008,Hawke's Bay,"Cultural, recreation, and gambling services",0.338073755
30/6/2008,Hawke's Bay,Food and beverage serving services,2.996654043
30/6/2008,Hawke's Bay,Other passenger transport,2.806169876
30/6/2008,Hawke's Bay,Other tourism products,2.004490066
30/6/2008,Hawke's Bay,"Retail sales - alcohol, food, and beverages",3.389304138
30/6/2008,Hawke's Bay,Retail sales - fuel and other automotive products,3.137581331
30/6/2008,Hawke's Bay,Retail sales - other,5.395942804
30/6/2008,Manawatu-Whanganui,Accommodation services,3.182876948
30/6/2008,Manawatu-Whanganui,"Cultural, recreation, and gambling services",1.65887696
